producto,col_target,cv_auc_mean,cv_auc_std,test_auc,pct_positivos
Tarjeta de Crédito Hey,tiene_tarjeta_credito_hey,0.9791,0.002,0.979,0.4294
Inversión Hey,tiene_inversion_hey,0.9837,0.0022,0.9825,0.2686
Seguro de Vida,tiene_seguro_vida,0.9586,0.0036,0.9591,0.1515
Seguro de Compras,tiene_seguro_compras,0.984,0.0024,0.984,0.077
Crédito Personal,tiene_credito_personal,0.9716,0.0033,0.973,0.064
Crédito Nómina,tiene_credito_nomina,0.9909,0.0005,0.9892,0.1245
Crédito Auto,tiene_credito_auto,0.9905,0.0012,0.9895,0.0578
Tarjeta Garantizada,tiene_tarjeta_credito_garantizada,0.9841,0.0019,0.986,0.0396
Cuenta Negocios,tiene_cuenta_negocios,0.9956,0.0014,0.9972,0.0816
